ID,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF
ff9,Li52.8La20.0Y4.0Zr12.8Ta3.2O96.0,230,12.9479,12.9479,12.9479,90,90,90,0.000226,10.1021/am503731h,No Match
2mn,Li56.0La24.0Zr16.0O96.0,230,12.968,12.968,12.968,90,90,90,0.000511,10.1002/anie.200701144,No Match
8ee,Li51.2Al1.52La24.0Zr16.0O94.4,230,12.972,12.972,12.972,90,90,90,0.00031,10.1016/j.jpowsour.2012.02.100,No Match
8k7,Li40.0La24.0Ta16.0O96.0,230,12.85,12.85,12.85,90,90,90,1.54e-06,10.1016/j.ssi.2009.11.015,No Match
b7v,Li40.0La24.0Bi16.0O96.0,230,13.052,13.052,13.052,90,90,90,2.2e-05,10.1016/j.ssi.2017.03.030,No Match
66a,Li54.0La24.0Zr14.0Nb2.0O96.0,230,12.9519,12.9519,12.9519,90,90,90,0.0008,10.1016/j.jpowsour.2010.11.089,No Match
3rh,Li52.0La24.0Nb10.0Y6.0O96.0,230,12.9488,12.9488,12.9488,90,90,90,0.00027,10.1021/jp304737x,Match
kh3,Li52.0La24.0Zr12.0Ta4.0O96.0,230,12.945,12.945,12.945,90,90,90,0.00092,10.1039/c2jm31413d,Close Match
zqx,Li52.8La24.0Zr12.8Ta3.2O96.0,230,12.948,12.948,12.948,90,90,90,0.00073,10.1039/c2jm31413d,No Match
o5q,Li54.4La24.0Zr14.4Ta1.6O96.0,230,12.964,12.964,12.964,90,90,90,0.00028,10.1039/c2jm31413d,Close Match
0ew,Li48.0La24.0Zr8.0Ta8.0O96.0,230,12.891,12.891,12.891,90,90,90,0.00016,10.1039/c2jm31413d,No Match
a6v,Li43.2La24.0Nb14.4Y6.0O96.0,230,12.9488,12.9488,12.9488,90,90,90,2.51e-05,10.1021/jp304737x,No Match
tbj,Li40.0La24.0Sb16.0O96.0,230,12.8467,12.8467,12.8467,90,90,90,3.33e-06,10.1016/j.ssi.2008.01.002,Match
dbs,Li52.0La24.0Zr12.0Ta4.0O96.0,230,12.954,12.954,12.954,90,90,90,0.000794,10.3389/fenrg.2016.00028,No Match
bt0,Li52.0La23.6Ba0.4Zr11.6Ta4.4O96.0,230,12.949,12.949,12.949,90,90,90,0.000832,10.3389/fenrg.2016.00028,No Match
dti,Li52.0La23.2Ba0.8Zr11.2Ta4.8O96.0,230,12.944,12.944,12.944,90,90,90,0.000834,10.3389/fenrg.2016.00028,No Match
7gm,Li52.0La22.4Ba1.6Zr10.4Ta5.6O96.0,230,12.952,12.952,12.952,90,90,90,0.000631,10.3389/fenrg.2016.00028,No Match
c71,Li52.0La21.6Ba2.4Zr9.6Ta6.4O96.0,230,12.964,12.964,12.964,90,90,90,0.000492,10.3389/fenrg.2016.00028,No Match
rgo,Li56.0La24.0Ta16.0O104.0,230,12.82,12.82,12.82,90,90,90,2.65e-06,10.1016/j.ssi.2009.07.002,No Match
ar1,Li16.0Sn4.0S12.0Se4.0,62,14.0934,8.07139,6.46112,90,90,90,7.5e-05,10.1021/acs.chemmater.0c04150,Match
cz2,Li16.0Sn4.0S4.0Se12.0,62,14.8164,8.16696,6.55387,90,90,90,9.5e-07,10.1021/acs.chemmater.0c04150,Match
klr,Li16.0Sn4.0S8.0Se8.0,62,14.6276,8.07968,6.48252,90,90,90,3.6e-05,10.1021/acs.chemmater.0c04150,Match
mn3,Li16.0Sn4.0Se16.0,62,14.9826,8.25908,6.6279,90,90,90,4.5e-08,10.1021/acs.chemmater.0c04150,Match
o0a,Li16.0Ge3.0Sn1.0Se16.0,62,14.7978,8.19907,6.50236,90,90,90,6e-06,10.1021/acs.chemmater.0c04150,Match
qer,Li16.0Ge2.0Sn2.0Se16.0,62,14.8804,8.20822,6.54131,90,90,90,1.8e-06,10.1021/acs.chemmater.0c04150,Match
aab,Li16.0Ge1.0Sn3.0Se16.0,62,14.9327,8.23052,6.58493,90,90,90,8.3e-07,10.1021/acs.chemmater.0c04150,Match
1ty,Li16.0Ge4.0S12.0Se4.0,62,14.2504,7.85208,6.22238,90,90,90,8.5e-06,10.1021/acs.chemmater.0c04150,Match
zv5,Li16.0Ge4.0S8.0Se8.0,62,14.4026,7.9744,6.30594,90,90,90,2.8e-05,10.1021/acs.chemmater.0c04150,Match
xk3,Li16.0Ge4.0Se16.0,62,14.5953,8.22373,6.49299,90,90,90,5e-06,10.1021/acs.chemmater.0c04150,Match
i4l,Li16.0Ge4.0S4.0Se12.0,62,14.4773,8.11467,6.41034,90,90,90,1.5e-05,10.1021/acs.chemmater.0c04150,Match
zzr,Li20.0Ge2.0P4.0S24.0,137,8.6877,8.6877,12.5827,90,90,90,0.0076,10.1021/jacs.0c10735,Match
kop,Li20.0Ge1.32Sn0.66P4.0S24.0,137,8.7068,8.7068,12.6394,90,90,90,0.0064,10.1021/jacs.0c10735,Match
rty,Li20.0Ge0.66Sn1.32P4.0S24.0,137,8.7182,8.7182,12.6876,90,90,90,0.0048,10.1021/jacs.0c10735,Match
kko,Li20.0Sn2.0P4.0S24.0,137,8.7297,8.7297,12.7428,90,90,90,0.0038,10.1021/jacs.0c10735,Match
